Market,Side,Date,Position Size,Payment,Rate
SOL,long,2026-08-22 05:00:00,0.208,-0.000247,0.000012%
SOL,long,2026-08-22 04:00:00,0.208,-0.000241,0.000012%
SOL,long,2026-08-22 01:00:00,0.213,-0.000239,0.000012%
ZEC,short,2026-08-22 00:00:00,0.0270,0.002995,0.000151%
ZEC,short,2026-08-21 23:00:00,0.0270,0.003309,0.000167%
BTC,short,2026-08-21 21:00:00,0.00026,0.000242,0.000012%
SOL,long,2026-08-21 19:00:00,0.219,-0.000240,0.000012%
SOL,long,2026-08-21 18:00:00,0.218,-0.000240,0.000012%
SOL,long,2026-08-21 16:00:00,0.133,-0.000145,0.000012%
ANTHROPIC,short,2026-08-21 11:00:00,0.00694,-0.000521,-0.000040%
CASHCAT,short,2026-08-21 11:00:00,100.1,0.004508,0.000349%
