Market,Side,Date,Position Size,Payment,Rate
SOL,short,2026-08-22 05:00:00,0.208,0.001258,0.000061%
SOL,short,2026-08-22 04:00:00,0.208,0.000806,0.000040%
SOL,short,2026-08-22 01:00:00,0.213,0.000320,0.000016%
ZEC,long,2026-08-22 00:00:00,0.027,-0.001189,0.000060%
ZEC,long,2026-08-21 23:00:00,0.027,-0.000990,0.000050%
BTC,long,2026-08-21 21:00:00,0.00026,-0.000241,0.000012%
SOL,short,2026-08-21 19:00:00,0.219,0.000241,0.000012%
SOL,short,2026-08-21 18:00:00,0.218,0.000241,0.000012%
SOL,short,2026-08-21 16:00:00,0.142,0.000156,0.000012%
CASHCAT,long,2026-08-21 11:00:00,301.7,-0.004788,0.000123%
ANTHROPIC,long,2026-08-21 11:00:00,0.00694,-0.000051,0.000004%
