Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type,Trade ID
SOL,Open Long,2026-08-21 16:19:41,70.078464,0.768000,91.248000,-,0.0000,Taker,trade,124576980
SOL,Open Long,2026-08-21 16:19:41,14.963688,0.164000,91.242000,-,0.0000,Taker,trade,124576979
SOL,Open Long,2026-08-21 16:19:41,14.963524,0.164000,91.241000,-,0.0000,Taker,trade,124576978
SOL,Close Long,2026-08-21 16:19:25,88.184598,0.967000,91.194000,0.241750,0.0000,Taker,trade,124572378
SOL,Close Long,2026-08-21 16:19:25,12.130265,0.133000,91.205000,0.034713,0.0000,Taker,trade,124572377
SOL,Open Long,2026-08-21 16:16:21,100.038400,1.100000,90.944000,-,0.0000,Taker,trade,124507735
SOL,Close Long,2026-08-21 16:15:51,99.755695,1.097000,90.935000,-0.220497,0.0000,Maker,trade,124497417
SOL,Open Long,2026-08-21 16:12:53,99.976192,1.097000,91.136000,-,0.0000,Taker,trade,124432972
SOL,Close Long,2026-08-21 16:12:35,13.025155,0.143000,91.085000,0.006578,0.0000,Maker,trade,124427729
SOL,Open Long,2026-08-21 16:09:39,13.018577,0.143000,91.039000,-,0.0000,Taker,trade,124362887
SOL,Close Long,2026-08-21 16:09:15,13.007995,0.143000,90.965000,-0.002288,0.0000,Maker,trade,124351887
SOL,Open Long,2026-08-21 16:08:43,13.010283,0.143000,90.981000,-,0.0000,Taker,trade,124340033
SOL,Close Long,2026-08-21 16:08:33,0.819018,0.009000,91.002000,-0.002128,0.0000,Maker,trade,124336058
SOL,Close Long,2026-08-21 16:07:55,12.100473,0.133000,90.981000,-0.034248,0.0000,Taker,trade,124322701
SOL,Open Long,2026-08-21 16:04:51,0.821214,0.009000,91.246000,-,0.0000,Taker,trade,124257471
SOL,Open Long,2026-08-21 16:04:51,12.134654,0.133000,91.238000,-,0.0000,Taker,trade,124257470
SOL,Close Long,2026-08-21 16:04:27,12.956932,0.142000,91.246000,-0.033512,0.0000,Maker,trade,124248460
SOL,Open Long,2026-08-21 16:01:31,12.990444,0.142000,91.482000,-,0.0000,Taker,trade,124187716
SOL,Close Long,2026-08-21 16:01:17,12.167638,0.133000,91.486000,0.014763,0.0000,Maker,trade,124182770
SOL,Open Long,2026-08-21 15:58:03,12.152875,0.133000,91.375000,-,0.0000,Taker,trade,124122169
HYPE,Close Short,2026-08-21 15:57:39,13.038660,0.170000,76.698000,-0.022440,0.0000,Maker,trade,124115293
HYPE,Open Short,2026-08-21 15:56:59,13.016220,0.170000,76.566000,-,0.0000,Taker,trade,124102053
HYPE,Close Short,2026-08-21 15:56:51,13.016900,0.170000,76.570000,-0.000340,0.0000,Taker,trade,124100274
HYPE,Open Short,2026-08-21 15:56:43,13.016560,0.170000,76.568000,-,0.0000,Taker,trade,124097837
ETH,Close Short,2026-08-21 15:56:27,12.931002,0.005400,2394.630000,-0.001350,0.0000,Taker,trade,124093712
ETH,Open Short,2026-08-21 15:55:55,12.929652,0.005400,2394.380000,-,0.0000,Taker,trade,124084886
SOL,Close Long,2026-08-21 15:55:39,12.963180,0.142000,91.290000,0.002698,0.0000,Maker,trade,124079985
SOL,Open Long,2026-08-21 15:55:07,12.960482,0.142000,91.271000,-,0.0000,Taker,trade,124067007
SOL,Close Long,2026-08-21 15:54:55,12.962896,0.142000,91.288000,-0.024140,0.0000,Maker,trade,124062729
SOL,Open Long,2026-08-21 15:52:35,12.987036,0.142000,91.458000,-,0.0000,Taker,trade,124013933
ANTHROPIC,Close Short,2026-08-21 14:27:47,13.079258,0.007010,1865.800000,-0.012618,0.0000,Taker,trade,122065417
ANTHROPIC,Open Short,2026-08-21 14:27:25,13.066640,0.007010,1864.000000,-,0.0000,Taker,trade,122055064
ANTHROPIC,Close Short,2026-08-21 14:27:16,13.059900,0.007000,1865.700000,-0.119000,0.0000,Taker,trade,122050693
ANTHROPIC,Open Short,2026-08-21 14:21:43,12.940900,0.007000,1848.700000,-,0.0000,Taker,trade,121882969
CASHCAT,Close Short,2026-08-21 14:21:27,13.182565,93.500000,0.140990,-0.147730,0.0000,Taker,trade,121874500
CASHCAT,Open Short,2026-08-21 14:17:47,13.034835,93.500000,0.139410,-,0.0000,Taker,trade,121765239
ANTHROPIC,Close Short,2026-08-21 14:17:24,13.053996,0.006980,1870.200000,-0.018148,0.0000,Maker,trade,121753907
ANTHROPIC,Open Short,2026-08-21 14:13:38,13.035848,0.006980,1867.600000,-,0.0000,Taker,trade,121641287
ANTHROPIC,Close Short,2026-08-21 13:24:16,13.027032,0.006960,1871.700000,-0.005568,0.0000,Taker,trade,120075067
CASHCAT,Close Short,2026-08-21 13:24:13,13.203040,92.200000,0.143200,-0.160428,0.0000,Taker,trade,120074209
CASHCAT,Open Short,2026-08-21 13:23:42,13.042612,92.200000,0.141460,-,0.0000,Taker,trade,120067528
CASHCAT,Close Short,2026-08-21 13:23:26,13.531296,94.400000,0.143340,-0.505984,0.0000,Taker,trade,120064737
