Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type,Trade ID
BTC,Close Short,2026-08-22 05:23:44,20.024108,0.000260,77015.800000,-0.008814,0.0000,Taker,trade,28053502732
BTC,Open Short,2026-08-22 05:23:39,20.015294,0.000260,76981.900000,-,0.0000,Taker,trade,28053485735
SOL,Close Short,2026-08-22 05:12:07,18.765552,0.208000,90.219000,1.208896,0.0000,Maker,trade,28051095513
SOL,Open Short,2026-08-22 03:12:15,19.974448,0.208000,96.031000,-,0.0000,Taker,trade,28038724548
SOL,Close Short,2026-08-22 01:29:50,20.041170,0.213000,94.090000,-0.030885,0.0000,Maker,trade,28029371259
SOL,Open Short,2026-08-22 01:22:54,20.010285,0.213000,93.945000,-,0.0000,Taker,trade,28028915249
SOL,Close Short,2026-08-22 01:22:00,12.507187,0.133000,94.039000,0.030324,0.0000,Maker,trade,28028841314
SOL,Open Short,2026-08-22 01:15:49,12.537511,0.133000,94.267000,-,0.0000,Taker,trade,28028373769
SOL,Close Short,2026-08-22 01:07:07,14.971281,0.159000,94.159000,0.011130,0.0000,Maker,trade,28027748060
SOL,Open Short,2026-08-22 01:06:39,14.982411,0.159000,94.229000,-,0.0000,Taker,trade,28027707910
SOL,Close Short,2026-08-22 01:00:55,20.005599,0.213000,93.923000,-0.016827,0.0000,Maker,trade,28027198879
SOL,Open Short,2026-08-22 00:55:34,19.988772,0.213000,93.844000,-,0.0000,Taker,trade,28026781125
SOL,Close Short,2026-08-22 00:52:33,19.967259,0.213000,93.743000,-0.008946,0.0000,Maker,trade,28026563740
SOL,Open Short,2026-08-22 00:47:19,19.958313,0.213000,93.701000,-,0.0000,Taker,trade,28026079061
ZEC,Close Long,2026-08-22 00:45:31,19.116838,0.026000,735.263000,-0.042822,0.0000,Maker,trade,28025944755
ZEC,Close Long,2026-08-22 00:45:30,0.735263,0.001000,735.263000,-0.001647,0.0000,Maker,trade,28025943101
ZEC,Open Long,2026-08-22 00:40:15,19.896570,0.027000,736.910000,-,0.0000,Maker,trade,28025492506
ZEC,Close Long,2026-08-22 00:36:49,19.933695,0.027000,738.285000,-0.071982,0.0000,Taker,trade,28025239958
ZEC,Open Long,2026-08-22 00:31:30,20.005677,0.027000,740.951000,-,0.0000,Maker,trade,28024815164
ZEC,Close Long,2026-08-22 00:30:12,19.886283,0.027000,736.529000,-0.173286,0.0000,Maker,trade,28024717816
ZEC,Open Long,2026-08-22 00:24:54,20.059569,0.027000,742.947000,-,0.0000,Maker,trade,28024298718
ZEC,Close Long,2026-08-22 00:23:58,20.020095,0.027000,741.485000,-0.043632,0.0000,Taker,trade,28024220690
ZEC,Open Long,2026-08-22 00:23:50,20.063727,0.027000,743.101000,-,0.0000,Maker,trade,28024208408
ZEC,Close Long,2026-08-22 00:22:58,20.051874,0.027000,742.662000,-0.007074,0.0000,Taker,trade,28024136289
ZEC,Open Long,2026-08-22 00:22:49,20.058948,0.027000,742.924000,-,0.0000,Maker,trade,28024125722
ZEC,Close Long,2026-08-22 00:20:38,19.957914,0.027000,739.182000,-0.048627,0.0000,Maker,trade,28023960135
ZEC,Open Long,2026-08-22 00:15:20,20.006541,0.027000,740.983000,-,0.0000,Maker,trade,28023505834
ZEC,Close Long,2026-08-22 00:01:18,19.947222,0.027000,738.786000,0.181305,0.0000,Maker,trade,28022003007
ZEC,Open Long,2026-08-21 23:56:10,19.765917,0.027000,732.071000,-,0.0000,Maker,trade,28021659153
ZEC,Close Long,2026-08-21 23:47:39,19.625706,0.027000,726.878000,-0.015363,0.0000,Maker,trade,28021027651
