Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type,Trade ID
SOL,Open Short,2026-08-21 16:19:41,100.046168,1.096000,91.283000,-,0.0000,Taker,trade,27979294982
SOL,Close Short,2026-08-21 16:19:19,100.398100,1.100000,91.271000,-0.313500,0.0000,Maker,trade,27979257327
SOL,Open Short,2026-08-21 16:16:21,100.084600,1.100000,90.986000,-,0.0000,Taker,trade,27978880185
SOL,Close Short,2026-08-21 16:15:57,99.847843,1.097000,91.019000,0.175520,0.0000,Taker,trade,27978835614
SOL,Open Short,2026-08-21 16:12:53,100.023363,1.097000,91.179000,-,0.0000,Taker,trade,27978452817
SOL,Close Short,2026-08-21 16:12:37,13.037453,0.143000,91.171000,-0.017875,0.0000,Taker,trade,27978423622
SOL,Open Short,2026-08-21 16:09:39,13.019578,0.143000,91.046000,-,0.0000,Taker,trade,27978065337
SOL,Close Short,2026-08-21 16:09:23,13.020293,0.143000,91.051000,-0.005720,0.0000,Taker,trade,27978029457
SOL,Open Short,2026-08-21 16:08:43,13.014573,0.143000,91.011000,-,0.0000,Taker,trade,27977937431
SOL,Close Short,2026-08-21 16:07:51,12.925124,0.142000,91.022000,0.035358,0.0000,Maker,trade,27977826350
SOL,Open Short,2026-08-21 16:04:51,12.960482,0.142000,91.271000,-,0.0000,Taker,trade,27977452440
SOL,Close Short,2026-08-21 16:04:35,12.966872,0.142000,91.316000,0.028968,0.0000,Taker,trade,27977418260
SOL,Open Short,2026-08-21 16:01:31,12.995840,0.142000,91.520000,-,0.0000,Taker,trade,27977038570
SOL,Close Short,2026-08-21 16:01:22,0.823860,0.009000,91.540000,-0.000981,0.0000,Maker,trade,27977019240
SOL,Close Short,2026-08-21 16:01:22,12.176815,0.133000,91.555000,-0.016492,0.0000,Maker,trade,27977018205
SOL,Open Short,2026-08-21 15:58:03,12.983202,0.142000,91.431000,-,0.0000,Taker,trade,27976678472
HYPE,Close Long,2026-08-21 15:57:47,13.019008,0.170000,76.582400,0.003893,0.0000,Taker,trade,27976653761
