Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type,Trade ID
SOL,Close Long,2026-08-22 05:12:08,18.836480,0.208000,90.560000,-1.128243,0.0000,Maker,trade,136372040
SOL,Open Long,2026-08-22 03:12:15,7.199250,0.075000,95.990000,-,0.0000,Taker,trade,134453508
SOL,Open Long,2026-08-22 03:12:15,12.765473,0.133000,95.981000,-,0.0000,Taker,trade,134453507
SOL,Close Long,2026-08-22 03:11:35,4.990336,0.052000,95.968000,-0.002548,0.0000,Taker,trade,134444737
SOL,Close Long,2026-08-22 03:11:35,14.972256,0.156000,95.976000,-0.006396,0.0000,Taker,trade,134444736
SOL,Open Long,2026-08-22 03:11:26,19.971536,0.208000,96.017000,-,0.0000,Maker,trade,134442254
SOL,Close Long,2026-08-22 01:30:13,7.525200,0.080000,94.065000,0.014880,0.0000,Maker,trade,133005823
SOL,Close Long,2026-08-22 01:29:54,12.507187,0.133000,94.039000,0.021280,0.0000,Taker,trade,133001931
SOL,Open Long,2026-08-22 01:22:50,19.996227,0.213000,93.879000,-,0.0000,Maker,trade,132918105
SOL,Close Long,2026-08-22 01:22:09,12.495350,0.133000,93.950000,-0.037506,0.0000,Taker,trade,132907089
SOL,Open Long,2026-08-22 01:15:46,12.532856,0.133000,94.232000,-,0.0000,Maker,trade,132828819
SOL,Close Long,2026-08-22 01:07:09,4.987141,0.053000,94.097000,-0.005883,0.0000,Taker,trade,132728799
SOL,Close Long,2026-08-22 01:07:09,14.964285,0.159000,94.115000,-0.014787,0.0000,Taker,trade,132728798
SOL,Open Long,2026-08-22 01:06:39,4.993024,0.053000,94.208000,-,0.0000,Maker,trade,132722701
SOL,Open Long,2026-08-22 01:06:38,14.979072,0.159000,94.208000,-,0.0000,Maker,trade,132722587
SOL,Close Long,2026-08-22 01:00:59,5.069574,0.054000,93.881000,0.004104,0.0000,Taker,trade,132645172
SOL,Close Long,2026-08-22 01:00:59,14.927079,0.159000,93.881000,0.012084,0.0000,Taker,trade,132645171
SOL,Open Long,2026-08-22 00:55:33,19.980465,0.213000,93.805000,-,0.0000,Maker,trade,132575622
SOL,Close Long,2026-08-22 00:55:09,4.967054,0.053000,93.718000,0.001166,0.0000,Maker,trade,132569761
SOL,Close Long,2026-08-22 00:52:34,14.992000,0.160000,93.700000,0.000640,0.0000,Taker,trade,132543159
SOL,Open Long,2026-08-22 00:47:17,19.957248,0.213000,93.696000,-,0.0000,Maker,trade,132463877
